排名,特征,重要性得分
1,hr,0.39776206
2,workingday,0.17386802
3,hr_workingday,0.1008806
4,seas_sin,0.09628949
5,yr,0.049452014
6,hr_sin,0.03594259
7,atemp,0.029100498
8,temp_hum,0.019109992
9,weathersit,0.018471884
10,hr_cos,0.015784241
11,season_hr,0.010818128
12,mnth,0.010265401
13,wek_cos,0.007537341
14,wek_sin,0.007446143
15,mnth_cos,0.005426168
16,weekday,0.0048730276
17,holiday,0.0046796803
18,seas_cos,0.0033537478
19,hum,0.0031016478
20,windspeed,0.0030055514
21,mnth_sin,0.0028316681
22,season,0.0
23,time_period,0.0
